ColumnName,abs_coef_mean_xgb,abs_coef_mean_lasso,coef_boruta,coef_sum
BsmtFinType2_Average Living Quarters,0.004808414725770098,0.029614721104082805,0.11162790697674418,0.2921020856131942
Condition1_Adjacent to North-South Railroad,0.004658151765589782,0.014312184524950481,0.1813953488372093,0.40073137025549915
LotShape_Irregular,0.0042073628850488355,0.16720976295444379,0.22325581395348837,0.789345879585962
FireplaceQu_Excellent - Exceptional Masonry Fireplace,0.00405709992486852,0.049262027985432236,0.21395348837209305,0.5345452325647876
Street_Gravel,0.003906836964688205,0.012874576704363937,0.172093023255814,0.37774887384973227
BsmtFinType2_Average Rec Room,0.003606311044327573,0.021116861542393457,0.14883720930232558,0.3471207637780932
Neighborhood_Briardale,0.003305785123966942,0.0005111494473196601,0.1209302325581395,0.2494943342588522
BsmtExposure_No Basement,0.003005259203606311,3.1946840457478754e-05,0.2930232558139535,0.5921209237160345
GarageCond_Good,0.002404207362885049,0.005399016037313909,0.10697674418604652,0.22955993517249096
GarageCond_Poor,0.0021036814425244178,0.001182033096926714,0.19069767441860463,0.38796677791611156
BldgType_Twnhs,0.0019534184823441023,0.021979426234745383,0.1581395348837209,0.36414475920162076
Foundation_Slab,0.0018031555221637865,0.0028752156411730877,0.20465116279069762,0.418659067908069
Neighborhood_Northpark Villa,0.001652892561983471,0.00025557472365983003,0.1348837209302326,0.2735843764317518
SaleType_Contract Low Down payment and low interest,0.0015026296018031556,6.389368091495751e-05,0.06511627906976747,0.13336560470497116
BsmtFinType2_Good Living Quarters,0.00135236664162284,0.0020126509488211613,0.13023255813953483,0.26719515145995765
OverallQual_Very Poor,0.0012021036814425245,0.008593700083061786,0.11627906976744184,0.2521497470638923
GarageType_More than one type of garage,0.0010518407212622089,0.037090281771132834,0.1953488372093023,0.4669819194033947
OverallQual_Poor,0.0010518407212622089,0.0163887291546866,0.3534883720930232,0.741857883937944
Functional_Severely Damaged,0.0007513148009015778,0.001182033096926714,0.09302325581395354,0.18991320742356366
SaleType_Contract 15% Down payment regular terms,0.0006010518407212623,0.0002875215641173088,0.013953488372092981,0.029684123553863104
RoofStyle_Mansard,0.0004507888805409466,0.0022682256724809915,0.051162790697674376,0.10776361050139263
